00Annotation	counts.Mast%20cell%20-%20stimulated%2c%20donor1.CNhs11073.11487-119E2.hg38.nobarcode	counts.Mast%20cell%2c%20donor1.CNhs12566.11563-120D6.hg38.nobarcode	counts.Mast%20cell%2c%20donor2.CNhs12594.11565-120D8.hg38.nobarcode	counts.Mast%20cell%2c%20donor3.CNhs12593.11566-120D9.hg38.nobarcode	counts.Mast%20cell%2c%20donor4.CNhs12592.11567-120E1.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%20and%20stimulated%2c%20donor5.CNhs13925.11940-126A5.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%20and%20stimulated%2c%20donor8.CNhs13927.11942-126A7.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%2c%20donor5.CNhs13924.11939-126A4.hg38.nobarcode	counts.Mast%20cell%2c%20expanded%2c%20donor8.CNhs13926.11941-126A6.hg38.nobarcode
LCE3C	0	0	0	0	0	0	0	0	0
LCE3D	0	0	0	0	0	0	0	0	0
LCE3E	0	0	0	0	0	0	0	0	0
LCE5A	0	0	0	0	0	0	0	0	0
LCE6A	0	0	0	0	0	0	0	0	0
LCK	0	0	6	0	10	0	0	0	0
LCLAT1	81	220	36	59	60	295	20	220	97
LCMT1	28	245	79	141	139	221	40	244	157
LCMT1-AS1	0	4	0	1	1	9	1	7	4
LCMT1-AS2	0	0	0	0	0	0	0	0	0
LCMT2	5	27	19	38	46	58	12	41	22
LCN1	0	0	0	0	0	0	0	0	0
LCN10	0	1	147	279	445	0	1	1	2
LCN12	0	0	0	0	1	0	0	0	0
LCN15	0	0	0	0	0	0	0	0	0
LCN1P2	0	0	0	0	0	0	0	0	0
LCN2	1	2	7	5	48	0	1	0	4
LCN6	0	0	7	18	21	0	0	1	2
LCN8	0	0	0	0	0	0	0	0	0
LCN9	0	0	0	0	0	0	0	0	0
LCNL1	0	0	0	14	6	0	0	0	0
LCOR	80	323	171	258	322	243	34	188	139
LCORL	32	84	36	49	61	110	11	83	64
LCP1	1594	5996	2028	2463	2320	13467	863	4300	2198
LCP2	1199	6048	1473	2521	2382	4051	459	3457	3015
LCT	0	0	0	0	0	0	0	0	0
LCT-AS1	0	1	0	0	0	1	0	0	2
LCTL	0	0	0	0	0	0	0	0	0
LDAF1	11	290	179	238	325	224	38	459	252
LDAH	18	165	38	60	59	160	20	122	93
LDB1	46	786	480	612	772	530	119	682	1050
LDB2	3	6	77	57	29	26	2	15	18
LDB3	0	0	1	0	0	0	0	0	0
LDC1P	0	0	0	0	0	0	0	0	0
LDHA	1815	5880	1654	1737	2165	8529	1223	7907	5449
LDHAL6A	0	1	0	0	0	0	0	0	0
