logFC	AveExpr	t	P.Value	adj.P.Val	B
TGDS	1.39634343718244	4.99460964655461	5.72506252426439	1.09065166114194e-05	0.00053979198224104	3.40348818050754
RRN3P3	1.15780022792703	1.8956110874803	5.67329819711545	1.22875565506549e-05	0.000567630079924484	3.37976336333798
NIP7	1.3061519351768	4.58220884364883	5.70164548547999	1.15105116066565e-05	0.000552395554188907	3.36617400792893
WDR36	1.18055008421055	5.65608505183285	5.70988671555426	1.12941481575799e-05	0.000548175393909203	3.35108482385348
FASTKD2	1.02906425588487	4.56974661618269	5.68083453711796	1.20758944914517e-05	0.000564309357933093	3.3500109278919
MTFR1L	-1.20065420798072	5.32711971733794	-5.68980835073046	1.18287030595425e-05	0.000561416907822767	3.34888175946038
CLCF1	4.1124619018921	2.76895094360714	5.65013392298692	1.29621308059186e-05	0.00058138628663868	3.34057627946174
PEA15	1.2745403955979	6.83329445913584	5.71706266999403	1.11091328799396e-05	0.000547124794337026	3.34028697123123
RAB32	-1.400590842761	7.36758623010631	-5.7113786506534	1.1255424955896e-05	0.000548175393909203	3.3390271373137
CRAT	-1.08865891987009	3.72876822591409	-5.65170235934479	1.29152863116506e-05	0.00058138628663868	3.33871840069696
UNC13D	-0.977074372037231	7.0859478459234	-5.71077099227661	1.12711803654145e-05	0.000548175393909203	3.3301232332951
TIMM44	0.92826135083946	4.56326834933619	5.67150272567097	1.23385389998907e-05	0.000567630079924484	3.31462554524109
ANKRD13D	-1.32316582364058	4.0986728899505	-5.63380010038142	1.34603922370308e-05	0.000589364570728139	3.29265982713527
HELZ	0.936345470506666	5.71108430623598	5.6844786445782	1.19748852074102e-05	0.000563025352221443	3.28869335156261
EIF3J	1.04910631248784	7.50459411962874	5.68384530569281	1.19923783592504e-05	0.000563025352221443	3.26865628428857
EDARADD	2.52314349788256	6.43309747203771	5.67656646919853	1.21953046432953e-05	0.000567251045144386	3.26322783009072
PLA2G4A	1.61566960115296	5.90357214298169	5.67029527322928	1.23729459045946e-05	0.000567630079924484	3.24694616280109
SPI1	-1.17444163846896	6.63586270065038	-5.66564576005811	1.25063522316256e-05	0.000571142367596101	3.23668956931176
FABP3	3.53141854473899	0.434282532175688	5.62543367793881	1.37231283273464e-05	0.000594294268555384	3.23106632804405
HSPA13	1.67118699946587	5.13692071325967	5.63751300008945	1.33454419826234e-05	0.000588458245396085	3.22640343191147
ZNF358	-1.64111348541141	5.04191909374301	-5.6187154239691	1.39378867309416e-05	0.00059865291208409	3.22074748924681
CORO1B	-1.20102935426656	5.30015768994992	-5.63241844846198	1.35034250166207e-05	0.000589364570728139	3.21881782865234
TMEM263	1.22090079006764	5.88206356724783	5.65547196726178	1.28034041045127e-05	0.00058138628663868	3.21700740049633
GUCD1	-0.908688251175582	5.65413977247472	-5.64165894900892	1.32182667238931e-05	0.000587627990154663	3.21551309903495
SPDL1	1.24977786464711	3.62523886726797	5.60251599041228	1.44699250383526e-05	0.000605975014207197	3.20887138183644
ZNF362	-0.934647619506347	5.21294619245651	-5.61855842155002	1.39429462951804e-05	0.00059865291208409	3.19773844416544
NEK7	0.940371667226101	6.77676999727928	5.6538624999714	1.28510518057576e-05	0.00058138628663868	3.19625486797084
TXNL4B	1.03088036631698	3.85418717120112	5.59876644060222	1.45959941712095e-05	0.000605975014207197	3.18652695625691
ARF4	1.09660918707074	7.5524635820743	5.64253697515688	1.3191492560983e-05	0.000587627990154663	3.17592367829746
ILF2	0.770085217428558	7.69898545958427	5.63723273754235	1.33540838011653e-05	0.000588458245396085	3.16163513168605
